Frame style,CN range,set
Default,1-188,HOB
Basic Lands,189-193,HOB
Full-art Middle-Earth Journey Lands,194-198,HOB
Scene (Great Goblin),199-204,HOB
Scene (Five Armies),205-213,HOB
Dragon Hoard Frame,214-238,HOB
Book Cover Frame,239-248,HOB
Headliner Smaug,249,HOB
Dragon Hoard Surge Foil,250-274,HOB
Book Cover Surge Foil,275-284,HOB
Extended Art,285-312,HOB
Full Art Seasonal Hobbit Lands,313-316,HOB
Full Art Season Hobbit Lands Surge Foil,317-320,HOB
Bundle,321,HOB
Scene (Unexpected Party),1-6,HOC
Scene (Treasures of Smaug),7-12,HOC
Classic Artist Box Topper,13-52,HOC
Classic Artist Box Topper Surge Foil,53-92,HOC
Dwarvish Langae,93-97,HOC
Battle of FIve Armies (CB Exclusive),98-106,HOC
