Booster Type,Slot,Description bullets
Collector,5 Traditional foil common cards,"There are 60 common cards (89.6%) and 5 common dual lands (7.5%) from the main set that can be found in these slots.
There are 2 scene cards that can be found in these slots (3%)."
Collector,4 Foil uncommon cards,"There are 55 traditional foil uncommon cards from the main set that can be found in these slots (84.6%).
There are 4 traditional foil scene cards that can be found in these slots (6.2%).
There are 6 traditional foil Dragon hoard cards that can be found in these slots (9.2%).
In 1 of 10 Collector Boosters, a surge foil Dragon hoard card appears in this slot.
"
Collector,1 Traditional foil Middle-earth journey basic land,
Collector,2 Traditional foil rare or mythic rare cards,There are 53 rare (87.6%) and 15 mythic rare (12.4%) cards from the main set that can be found in these slots.
Collector,2 Non-foil Booster Fun cards,"A rare HOB scene card (10.1%)
A rare HOC scene card (14.2%)
A rare (13.1%) or mythic rare (4.5%) Dragon hoard card
A rare (4.2%) or mythic rare (3.3%) book cover card
A Middle-earth classic artist card (11.9%)
A Dwarvish language card (1.5%)
A rare (30.9%) or mythic rare (1.2%) extended-art HOB card
A mythic rare extended-art HOC card (5.3%)"
Collector,1 Foil Booster Fun card,"A traditional foil rare HOB scene card (11.0%)
A traditional foil rare (14.3%) or mythic rare (4.9%) Dragon hoard card
A surge foil rare (6.5%) or mythic rare (2.4%) Dragon hoard card
A traditional foil rare (4.6%) or mythic rare (3.6%) book cover card
A surge foil rare (2.4%) or mythic rare (1.8%) book cover card
A surge foil Middle-earth classic artist card (11.9%)
A traditional foil Dwarvish language card (1.6%)
A traditional foil rare (33.8%) or mythic rare (1.3%) extended-art HOB card
A gleaming gold Smaug the Magnificent headliner card (approximately 500 copies available)
"
Play,7 Common cards,"There are 60 common cards from the main set that can be found in these slots.
There are 2 scene cards that can be found in these slots (7.8%).
"
Play,3 Uncommon cards,"There are 55 uncommon cards from the main set that can be found in these slots.
There are 4 scene cards that can be found in these slots (5.5%).
There are 6 Dragon hoard cards that can be found in these slots (10.9%)."
Play,1 Wildcard of any rarity,"A common (74.17%), uncommon (3.9%), rare (17.3%), or mythic rare (2.3%) card from the main set
A common (less than 1%), uncommon (less than 1%), or rare (less than 1%) HOB scene card
An uncommon (less than 1%), rare (less than 1%), or mythic rare (less than 1%) Dragon hoard card
A rare (less than 1%) or mythic rare (less than 1%) book cover card
"
Play,1 Rare or mythic rare card,"A rare (82.9%) or mythic rare (11.1%) card from the main set
A rare scene card (1.8%; does not include rare cards from Scene Boxes)
A rare (2.3%) or mythic rare (less than 1%) Dragon hoard card
A rare (less than 1%) or mythic rare (less than 1%) book cover card
"
Play,1 Traditional foil card,"A common (59.8%), uncommon (29.3%), rare (7.1%), or mythic rare (1%) card from the main set
A common (less than 1%), uncommon (less than 1%), or rare (less than 1%) HOB scene card
An uncommon (less than 1%), rare (less than 1%), or mythic rare (less than 1%) Dragon hoard card
A rare (less than 1%) or mythic rare (less than 1%) book cover card
"
Play,1 Land card,"A non-foil (26.7%) or traditional foil (6.7%) default frame basic land
A non-foil (13.3%) or traditional foil (3.3%) Middle-earth journey basic land
A non-foil (40%) or traditional foil (10%) common dual land
"
