Frame style,CN range,Set
Default,1-261,LTR
Basic Land,262-271,LTR
Full-art Basic Land,272-281,LTR
Jumpstart-Exclusive Rare,282-286,LTR
Starter Deck Exclusive,287-298,LTR
Play Promos,299-301,LTR
Showcase: The Ring,302-331,LTR
Nazgul,100 and 332-339,LTR
Borderless Lands,340-345,LTR
Extended-Art,346-397,LTR
Buy-a-Box Promo,398,LTR
Borderless Scene: Bilbo's Birthday Party,399-404,LTR
Borderless Scene: Bridge of Khazad-Dum,405-410,LTR
Borderless Scene: Isengard Destroyed,411-419,LTR
Borderless Scene: The Battle of the Pelennor Fields,420-437,LTR
Borderless Scene: Scouring of the Shire,438-441,LTR
Borderless Scene: The Grey Havens,442-447,LTR
Borderless Scene: Mount Doom,448-451,LTR
Showcase: Scrolls of Middle Earth,453-722 (excluding type:basic),LTR
"Basic Land, Surge Foil",713-722,LTR
Showcase: Scrolls of MIddle Earth (Nazgul Art Variants),723-730,LTR
Borderless Poster,731-750,LTR
Surge Foil Extended Art Rares,757-793,LTR
Surge Foil Showcase: The Ring,794-823,LTR
Jumpstart 2 Rares,824-828,LTR
Jumpstart 2 Rares Extended-Art,829-833,LTR
Realms and Relics,348-377,LTC
Surge Foil Realms and Relics,378-407,LTC
Extended-Art Commander,85-160,LTC
Scene Box,491-514,LTC
"Scene Box, Surge foil",535-558,LTC
Brothers Hildebrandt,515-534,LTC
Scroll,452-712,LTR
"Scroll, Commander",411-490,LTC
