Booster type,Slot,description bullet
Collector,3 Traditional foil commons,"LTR has 101 commons, all brand-new cards with art highlighting Middle-earth."
Collector,1 Traditional foil common,"1 Non-foil Elven Sol Ring (< 0.1%),
1 Non-foil Dwarven Sol Ring (< 0.25%),
1 Non-foil Human Sol Ring (< 0.3%),
1 Double rainbow foil serialized Elven Sol Ring (< 0.01%),
1 Double rainbow foil serialized Dwarven Sol Ring (< 0.025%),
1 Double rainbow foil serialized Human Sol Ring (< 0.03%),
The One Ring serialized one of one (English Collector Boosters only and < 0.00003%)"
Collector,2 Traditional foil uncommons,"79 of the 80 uncommons in the set are found here. The remaining uncommons are the 9 Nazgûl variants, which show up in a different slot."
Collector,1 Traditional foil full-art basic land,Each Collector Booster is guaranteed to have 1 of the 10 in traditional foil.
Collector,1 Traditional foil rare or mythic rare,Each of the 60 rares (85.7%) and 20 mythic rares (14.3%) from the main set show up in this slot in traditional foil.
Collector,1 Extended-art rare or mythic rare from main set,There are 28 rares (86.1%) and 9 mythic rares (13.9%) from the main set that have been given the extended-art treatment.
Collector,"1 Extended-art rare or mythic rare from Commander decks, Jumpstart Boosters, or Starter Kits","There are 81 rares (94.2%) and 10 mythic rares (5.8%) that can be found in this slot. The Jumpstart product has 5 new-to-Magic rares, and each is found in this slot with extended art. Similarly, the Starter Kit has 8 new rares and 2 new mythic rares, which can be found here with extended art. Finally, each of the 68 new rares (excluding the 4 new Sagas) and 8 new mythic rares from the Commander decks can be found here with extended art. All cards found in this slot feature the art of The Lord of the Rings: Tales of Middle-earth in non-foil."
Collector,1 Uncommon Nazgûl or an uncommon with the showcase Ring treatment,"Here, you can get either 1 of 10 uncommons with the showcase Ring treatment (91%) or 1 of 9 possible artworks from the uncommon Nazgûl cards (9%)."
Collector,"1 Borderless rare or mythic rare, a rare or mythic rare with the showcase Ring treatment, or a Realms and Relics mythic rare","In this slot, you can find 1 of 14 rares or 6 mythic rares with the showcase Ring treatment (50% in total). This slot may also contain 1 of 5 rare borderless lands or the mythic rare borderless land (18.7% in total) featuring alternate art of the most iconic locations in Middle-earth. You can also open 1 of 30 mythic rare Realms and Relics cards in non-foil (31.3%).
Of note, some borderless cards and cards with the showcase Ring treatment show up in alternate versions as well. For those cards, they will show up half as often as cards of their equivalent rarity in the same treatment."
Collector,"1 Borderless scene card, any rarity","Here, you can get one of the scene cards from each of the seven different possible scenes. Cards found in Prerelease Packs that create Bilbo's Birthday Party scene are foil-stamped traditional foils, and cards from the Bundle and Bundle: Gift Edition that create the Mount Doom scene come in traditional foil. In this slot, each of the borderless scene cards, including cards that create Bilbo's Birthday Party scene and the Mount Doom scene, are non-foil.
There are 9 commons (37.5%), 14 uncommons (29.2%), 21 rares (27.3%), and 9 mythic rares (6%) that can be found in this slot. Like the previous slot, there are also some borderless scene rares and mythic rares that appear in alternate Booster Fun treatments. For those cards, they will show up in this slot half as often as cards of their equivalent rarity in the same treatment."
Collector,1 Traditional foil Ring uncommon,"traditional foil uncommon with the showcase Ring treatment (23.3%), a borderless scene common (41.8%) or uncommon (32.6%), or a Nazgûl uncommon (2.3%) – Here, you can open one of the listed cards in traditional foil (which can include the common and uncommon borderless scene cards found in Prerelease Packs and Bundles)."
Collector,1 Traditional foil Booster Fun Common or Uncommon,"1 Traditional foil uncommon with the showcase Ring treatment (23.3%), a borderless scene common (41.8%) or uncommon (32.6%), or a Nazgûl uncommon (2.3%)"
Collector,1 Traditional foil Rare or Mythic Rare Booster Fun,"In the final slot of The Lord of the Rings: Tales of Middle-earth Collector Boosters, you can find 1 of 30 Realms and Relics mythic rares in surge foil (0.8%). This surge foiling is a striking foil treatment and matches the treatment used in our Warhammer 40,000 Commander decks.
Everything else found in this slot will be in our traditional foil treatment. This includes the 14 rares (24.8%) and 6 mythic rares (5.0%) with the showcase Ring treatment; the 5 rare borderless lands (9.9%) and 1 mythic rare borderless land (1.2%); the 21 rare (39.7%) and 9 mythic rare borderless scene cards (8.7%); and the 8 new-to-Magic mythic rare Commander cards in extended art (9.9%).
Once again, there are select rares and mythic rares that show up in multiple versions within this slot in traditional foil. You can find those cards in each variant half as often as other cards of equivalent rarity. In this way, you can get these cards as often, in total, as you can get cards that are only available in a single treatment."
Play,1 Basic Land or Full-art basic land,Basic (80%) or Full-art (20%)
Play,3 Commons,
Play,3 Uncommons,
Play,1 Borderless Scene or Showcase Ring frame (Common or Uncommon),
Play,2 Wildcard,"Any rarity: Common (58%), Uncommon (29%), Rare (11%), Mythic (2%)"
Play,1 Traditional Foil,"Any rarity: Common (70%), Uncommon (17%), Rare (11%), Mythic (2%)"
Play,1 Rare or Mythic,"Rare (87.5%), Mythic (12.5%)"
Holiday,2 Showcase Scroll Commons,Each of the 101 commons from the main set of The Lord of the Rings: Tales of Middle-earth can be found in these two slots.
Holiday,2 Silver foil Showcase Scrolls Uncommons,"The same as the above slot, except in silver foil."
