Frame style,CN range,Set
Default,1-276,MSH
Full-art City Calm / City Chaos Basic Land,277-286,MSH
Basic Land,287-296,MSH
Panel,297-313,MSH
Scene,314-351,MSH
Logo,352-379,MSH
Borderless Land,380-384,MSH
Cosmic Foil Mind Stone,385,MSH
Gauntlet Mind Stone,386,MSH
Borderless Classic Comic,387-401,MSH
Extended Art,402-429,MSH
Bundle Promo,431,MSH
Gift Bundle Promo,432,MSH
Surge Foil Full Art Basic Land,433-442,MSH
Collector's Edition Commander Deck Surge Foil,443-454,MSH
Face Commander,1-7,MSC
New-to-Magic Commander,8-120,MSC
Extended Art Commander,291-500,MSC
New-to-Magic Jumpstart,583-767,MSC
Jumpstart Reprint,768-828,MSC
Welcome Deck,829-833,MSC
Source Material,41-100,MAR
