Booster type,Slot,description bullet
Collector,3 Traditional foil common cards,There are 81 common cards (89%) and 10 common dual lands (11%) from the main set that can be found in these slots.
Collector,2 Traditional foil uncommon cards,There are 100 uncommon cards from the main set that can be found in these slots.
Collector,2 Traditional foil common MSC cards,A reprint card from Jumpstart Boosters (50%)
Collector,2 Traditional foil common MSC cards,A new-to-Magic Jumpstart card (50%)
Collector,1 Traditional foil uncommon MSC cards,A reprint card from Jumpstart Boosters (18.6%)
Collector,1 Traditional foil uncommon MSC cards,A new-to-Magic Jumpstart card (81.4%)
Collector,1 Traditional foil common or uncommon scene card,1 Traditional foil common (20%) or uncommon (80%) scene card
Collector,1 Traditional foil city calm or city chaos basic land,1 Traditional foil city calm (50%) or city chaos (50%) basic land
Collector,1 Traditional foil rare or mythic rare card,A rare (45%) or mythic rare (9.4%) card from the main set
Collector,1 Traditional foil rare or mythic rare card,A double-faced mythic rare (1.4%) scene card
Collector,1 Traditional foil rare or mythic rare card,A double-faced mythic rare (1.4%) logo card
Collector,1 Traditional foil rare or mythic rare card,A rare (33.8%) or mythic rare (4.1%) new-to-Magic card from Jumpstart Boosters
Collector,1 Traditional foil rare or mythic rare card,A rare reprint card from Jumpstart Boosters (3%)
Collector,1 Traditional foil rare or mythic rare card,A mythic rare new-to-Magic card from Welcome Decks (1.9%)
Collector,1 Non-foil Booster Fun card from the Commander decks,"203 Extended-art rare cards (93.6%) (Includes 92 reprints and 111 new-to-Magic cards
)"
Collector,1 Non-foil Booster Fun card from the Commander decks,"7 Extended-art mythic rare cards (3.2%) (Includes 4 reprints and 3 new-to-Magic cards
)"
Collector,1 Non-foil Booster Fun card from the Commander decks,7 Borderless face commanders (3.2%)
Collector,1 Non-foil rare or mythic rare Booster Fun card,An extended-art rare (27.8%) or mythic rare (2.3%) card from the main set
Collector,1 Non-foil rare or mythic rare Booster Fun card,A rare (6.4%) or mythic rare (4.9%) scene card
Collector,1 Non-foil rare or mythic rare Booster Fun card,A rare (15.1%) or mythic rare (4.6%) logo card
Collector,1 Non-foil rare or mythic rare Booster Fun card,A rare (12.1%) or mythic rare (2.6%) panel card
Collector,1 Non-foil rare or mythic rare Booster Fun card,A borderless card from the Scene Boxes (13.9%)
Collector,1 Non-foil rare or mythic rare Booster Fun card,A borderless rare land (5.8%)
Collector,1 Non-foil rare or mythic rare Booster Fun card,A borderless source material card (4.5%)
Collector,1 Non-foil or traditional foil source material card,1 Non-foil (75%) or traditional foil (25%) source material card
Collector,1 Foil Booster Fun rare or mythic rare card,A traditional foil extended-art rare (31.8%) or mythic rare (2.7%) card from the main set
Collector,1 Foil Booster Fun rare or mythic rare card,"A traditional foil rare (7.3%) or mythic rare (4%) scene card (Double-faced scene cards do not appear in this slot.
)"
Collector,1 Foil Booster Fun rare or mythic rare card,"A traditional foil rare (17.2%) or mythic rare (3.6%) logo card (Double-faced logo cards do not appear in this slot.
)
"
Collector,1 Foil Booster Fun rare or mythic rare card,A traditional foil rare (13.9%) or mythic rare (3%) panel card
Collector,1 Foil Booster Fun rare or mythic rare card,A traditional foil borderless rare land card (6.6%)
Collector,1 Foil Booster Fun rare or mythic rare card,A traditional foil classic comic card (9.9%)
Collector,1 Foil Booster Fun rare or mythic rare card,A traditional foil borderless Gauntlet version of The Mind Stone appears in less than 1% of Collector Boosters in this slot.
Collector,1 Foil Booster Fun rare or mythic rare card,"A textless, cosmic foil version of The Mind Stone appears in an extremely low quantity of Collector Boosters."
Play,7 Commons,There are 81 common cards from the main set that can be found in these slots.
Play,7 Commons,There are 3 scene cards that can be found in these slots (8.6%).
Play,7 Commons,"In 1 out of 24 Play Boosters, 1 of 60 non-foil source material cards will replace a common."
Play,3 Uncommons,There are 100 uncommon cards from the main set that can be found in these slots.
Play,3 Uncommons,There are 12 scene cards that can be found in these slots (12%).
Play,1 Wildcard of any rarity,"A common (12.4%), uncommon (64%), rare (16.8%), or mythic rare (2.1%) card from the main set"
Play,1 Wildcard of any rarity,"A common (less than 1%), uncommon (2.7%), rare (less than 1%), or mythic rare (less than 1%) scene card"
Play,1 Wildcard of any rarity,A rare (less than1%) or mythic rare (less than 1%) logo card
Play,1 Wildcard of any rarity,A rare (less than 1%) or mythic rare (less than 1%) panel card
Play,1 Wildcard of any rarity,A rare borderless land (1%)
Play,1 Rare or mythic rare card,A rare (76.1%) or mythic rare (16.6%) card from the main set
Play,1 Rare or mythic rare card,A rare (1%) or mythic rare (0.8%) scene card
Play,1 Rare or mythic rare card,A rare (2.4%) or mythic rare (0.7%) logo card
Play,1 Rare or mythic rare card,A rare (1.9%) or mythic rare (less than 1%) panel card
Play,1 Traditional foil card of any rarity,"A common (59.9%), uncommon (29.6%), rare (5.9%), or mythic rare (1.2%) card from the main set"
Play,1 Traditional foil card of any rarity,"A common (less than 1%), uncommon (1.2%), rare (less than 1%), or mythic rare (less than 1%) scene card"
Play,1 Traditional foil card of any rarity,A rare (less than 1%) or mythic rare (less than 1%) logo card
Play,1 Traditional foil card of any rarity,A rare (less than 1%) or mythic rare (less than 1%) panel card
Play,1 Traditional foil card of any rarity,A rare borderless land (less than 1%)
Play,1 Non-foil or traditional foil land card,A non-foil (40%) or traditional foil (10%) common dual land
Play,1 Non-foil or traditional foil land card,A non-foil (20%) or traditional foil (5%) default frame basic land
Play,1 Non-foil or traditional foil land card,A non-foil (10%) or traditional foil (2.5%) city calm basic land
Play,1 Non-foil or traditional foil land card,A non-foil (10%) or traditional foil (2.5%) city chaos basic land
