Slot,Description bullet
6–7 Common cards,There are 81 common cards from Secrets of Strixhaven that can appear in these slots.
6–7 Common cards,"In 1 of 55 Play Boosters, 1 of 10 Special Guests cards will replace a common."
3 Uncommon cards,There are 100 uncommons from Secrets of Strixhaven that can appear in these slots.
1 Wildcard of any rarity,"A common (39.1%), uncommon (39.1%), rare (19.5%), or mythic rare (1.9%) card from the Secrets of Strixhaven main set"
1 Wildcard of any rarity,"A rare or mythic rare borderless Elder Dragon, planeswalker, or dual land (less than 1%)"
1 Wildcard of any rarity,A rare or mythic rare field notes card (less than 1%)
1 Rare or mythic rare card,A rare (82.5%) or mythic rare (14.1%) from the Secrets of Strixhaven main set
1 Rare or mythic rare card,"A rare or mythic rare borderless Elder Dragon, planeswalker, or dual land (1.6%)"
1 Rare or mythic rare card,A rare (1.2%) or mythic rare (less than 1%) field notes card
1 Mystical Archive card,"An uncommon (87.5%), rare (9.6%), or mythic rare (2.9%) Mystical Archive card"
1 Traditional foil card of any rarity,"A common (54.4%), uncommon (33.6%), rare (6.7%), or mythic rare (1.1%) card from the Secrets of Strixhaven main set"
1 Traditional foil card of any rarity,"A rare or mythic rare borderless Elder Dragon, planeswalker, or dual land (less than 1%)"
1 Traditional foil card of any rarity,A rare or mythic rare field notes card (less than 1%)
1 Traditional foil card of any rarity,"An uncommon (2.8%), rare (less than 1%), or mythic rare (less than 1%) Mystical Archive card"
1 Land card,A non-foil (26.7%) or traditional foil (6.7%) default frame basic land
1 Land card,A non-foil (13.3%) or traditional foil (3.3%) spellcraft land
1 Land card,A non-foil (40%) or traditional foil (10%) common dual land
