Slot,Description bullet
7 Commons,There are 56 commons from the main set that can be found in these slots.
7 Commons,There is 1 scene card that can be found in these slots (4.2%).
7 Commons,"In 1 out of 28 Play Boosters, 1 of 20 non-foil source material cards will replace a common."
2 Uncommons,There are 51 commons from the main set that can be found in these slots.
2 Uncommons,There are 3 scene cards that can be found in these slots (3.9%).
2 Uncommons,There are 6 sewer cards that can be found in these slots (7.8%).
1 Legendary Turtle card of any rarity,"There are 5 common (64.1%), 4 uncommon (13.1%), 4 rare (6.9%), and 4 mythic rare (3.4%) cards from the main set that can be found in this slot."
1 Legendary Turtle card of any rarity,"There are 1 common (4.6%), 4 uncommon (6.5%), and 4 rare (1%) scene cards that can be found in this slot."
1 Legendary Turtle card of any rarity,There are 4 mythic rare silhouette cards that can be found in this slot (less than 1%).
1 Wildcard of any rarity,"A common (24.9%), uncommon (62.1%), rare (7.6%), or mythic rare (less than 1%) card from the main set"
1 Wildcard of any rarity,"A common (less than 1%), uncommon (1.3%), rare (less than 1%), or mythic rare (less than 1%) scene card"
1 Wildcard of any rarity,"An uncommon (2.6%), rare (less than 1%), or mythic rare (less than 1%) sewer card"
1 Wildcard of any rarity,A mythic rare silhouette card (less than 1%)
1 Rare or Mythic rare card,A rare (84.9%) or mythic rare (9.2%) card from the main set
1 Rare or Mythic rare card,A rare scene card (less than 1%)
1 Rare or Mythic rare card,A rare (4.1%) or mythic rare (less than 1%) sewer card
1 Rare or Mythic rare card,A mythic rare silhouette card (less than 1%)
1 Foil card of any rarity,"A common (61.5%), uncommon (27.7%), rare (6.7%), or mythic rare (less than 1%) card from the main set"
1 Foil card of any rarity,"A common (less than 1%), uncommon (less than 1%), or rare (less than 1%) scene card"
1 Foil card of any rarity,"An uncommon (less than 1%), rare (less than 1%), or mythic rare (less than 1%) sewer card"
1 Foil card of any rarity,A mythic rare silhouette card (less than 1%)
1 Land card,A non-foil (48%) or traditional foil (12%) common dual land
1 Land card,A non-foil (32%) or traditional foil (8%) rooftop basic land
