Slot,Description bullet
4 Traditional foil common cards,There are 81 common cards and 5 common dual lands from Secrets of Strixhaven that can appear in these slots.
3 Traditional foil uncommon cards,There are 100 uncommons from Secrets of Strixhaven that can appear in these slots.
2 Uncommon Mystical Archive cards,A non-foil (31.7%) or traditional foil (31.7%) Mystical Archive card
2 Uncommon Mystical Archive cards,A non-foil (31.7%) or silver scroll foil (5%) Japanese Mystical Archive card
1 Traditional foil spellcraft land,
1 Traditional foil rare or mythic rare card,A rare (85.7%) or mythic rare (14.3%) from the Secrets of Strixhaven main set
1 Non-foil Secrets of Strixhaven Commander (SOC) rare or mythic rare,10 Mythic rare borderless cards (9%)
1 Non-foil Secrets of Strixhaven Commander (SOC) rare or mythic rare,48 Rare extended-art cards (91%)
1 Non-foil Booster Fun rare or mythic rare card,An extended-art rare (70%) or mythic rare (5%) card from the Secrets of Strixhaven main set
1 Non-foil Booster Fun rare or mythic rare card,"A rare (7.1%) or mythic rare (5%) borderless Elder Dragon, planeswalker, or dual land"
1 Non-foil Booster Fun rare or mythic rare card,A rare (8.6%) or mythic rare (4.3%) field notes card
1 Rare or mythic rare Mystical Archive card,A non-foil rare (25.6%) or mythic rare (7.7%) Mystical Archive card
1 Rare or mythic rare Mystical Archive card,A non-foil rare (25.6%) or mythic rare (7.7%) Japanese Mystical Archive card
1 Rare or mythic rare Mystical Archive card,A traditional foil rare (25.6%) or mythic rare (7.7%) Mystical Archive card
"1 Foil Booster Fun rare or mythic rare card
",A traditional foil extended-art rare (59.9%) or mythic rare (4.3%) card from the Secrets of Strixhaven main set
1 Foil Booster Fun rare or mythic rare card,"A traditional foil rare (6.1%) or mythic rare (4.3%) borderless Elder Dragon, planeswalker, or dual land"
1 Foil Booster Fun rare or mythic rare card,A traditional foil rare (7.3%) or mythic rare (3.7%) field notes card
1 Foil Booster Fun rare or mythic rare card,A silver scroll foil rare (7.7%) or mythic rare (2.3%) Japanese Mystical Archive card
1 Foil Booster Fun rare or mythic rare card,A traditional foil Special Guests card (4.5%)
1 Foil Booster Fun rare or mythic rare card,A serialized double rainbow foil Emeritus of Ideation appears in less than 1% of Collector Boosters.
