Slot,Description bullet
5 Foil Commons,There are 61 commons (88.4%) and 6 common dual lands (8.7%) from the main set that can be found in these slots.
5 Foil Commons,There are 2 common scene cards that can be found in these slots (2.9%).
3 Foil Uncommons,There are 55 uncommons from the main set that can be found in these slots (80.9%).
3 Foil Uncommons,There are 7 uncommon scene cards that can be found in these slots (10.3%).
3 Foil Uncommons,There are 6 uncommon sewer cards that can be found in these slots (8.8%).
1 Non-foil or Surge Foil Commander cards (TMC),A non-foil (51.9%) or surge foil (23.1%) common
1 Non-foil or Surge Foil Commander cards (TMC),A non-foil (17.3%) or surge foil (7.7%) uncommon
1 Foil or Surge Foil Basic Land,A traditional foil (66.7%) or surge foil (11.1%) pizza basic land
1 Foil or Surge Foil Basic Land,A surge foil rooftop basic land (22.2%)
1 Foil Rare or Mythic Rare,There are 53 rare (87.6%) and 15 mythic rare (12.4%) cards from the main set that can be found in these slots.
2 Booster Fun or Commander cards. (TMT or TMC),A non-foil mythic rare silhouette card (2.9%)
2 Booster Fun or Commander cards. (TMT or TMC),A non-foil rare scene card (5.8%)
2 Booster Fun or Commander cards. (TMT or TMC),A non-foil rare (13.2%) or mythic rare (1.4%) sewer card
2 Booster Fun or Commander cards. (TMT or TMC),A non-foil extended-art rare (16.1%) or mythic rare (less than 1%) card from the main set
2 Booster Fun or Commander cards. (TMT or TMC),A non-foil borderless mythic rare from the Turtle Power! Commander deck (2.2%)
2 Booster Fun or Commander cards. (TMT or TMC),A non-foil new-to-Magic rare (26.2%) or mythic rare (less than 1%) card from the Turtle Power! Commander deck
2 Booster Fun or Commander cards. (TMT or TMC),A non-foil rare reprint card from the Turtle Power! Commander deck (19%)
2 Booster Fun or Commander cards. (TMT or TMC),A surge foil new-to-Magic rare (6.1%) or mythic rare (less than 1%) card from the Turtle Power! Commander deck
2 Booster Fun or Commander cards. (TMT or TMC),A surge foil reprint card from the Turtle Power! Commander deck (4.4%)
2 Booster Fun or Commander cards. (TMT or TMC),A surge foil rare (1.3%) or mythic rare (0.6%) pixel card
1 Non-foil or Foil Source Material card (PZA),
1 Foil Booster fun Rare or Mythic Rare,A traditional foil rare scene card (13.2%)
1 Foil Booster fun Rare or Mythic Rare,A traditional foil rare (29.7%) or mythic rare (3.3%) sewer card
1 Foil Booster fun Rare or Mythic Rare,A traditional foil extended-art rare (36.3%) or mythic rare (less than 1%) card from the main set
1 Foil Booster fun Rare or Mythic Rare,A traditional foil silhouette card (6.6%)
1 Foil Booster fun Rare or Mythic Rare,A traditional foil (9%) or fracture foil (less than 1%) Japan Showcase card
1 Foil Booster fun Rare or Mythic Rare,Kevin Eastman headliner cards appear in this slot at a low rate in Collector Boosters.
